title,eps,date,members,rating
Hori-san to Miyamura-kun,OVA (6 eps),        Sep 2012 - May 2021,"        80,122 members",7.36
Yoru no Kuni,ONA (? eps),        Apr 2021 - ,"        2,442 members",7.30
"Kumo Desu ga, Nani ka?",TV (24 eps),        Jan 2021 - ,"        191,810 members",7.29
Hifuu Katsudou Kiroku: The Sealed Esoteric History,OVA (? eps),        Dec 2015 - ,"        5,449 members",7.25
Bishounen Tanteidan,TV (? eps),        Apr 2021 - ,"        42,734 members",7.22
Tunshi Xingkong,ONA (26 eps),        Nov 2020 - ,"        1,035 members",7.22
Pokemon (2019),TV (? eps),        Nov 2019 - ,"        45,583 members",7.21
Tropical-Rouge! Precure,TV (? eps),        Feb 2021 - ,"        4,797 members",7.21
Mini Dragon,ONA (? eps),        Apr 2021 - ,"        11,752 members",7.21
Chibi Maruko-chan (1995),TV (? eps),        Jan 1995 - ,"        3,204 members",7.20
Wushen Zhuzai,ONA (160 eps),        Mar 2020 - ,"        1,650 members",7.20
Seijo no Maryoku wa Bannou Desu,TV (12 eps),        Apr 2021 - ,"        59,686 members",7.19
Doupo Cangqiong 4th Season,ONA (24 eps),        Mar 2021 - ,"        1,229 members",7.19
"Ijiranaide, Nagatoro-san",TV (12 eps),        Apr 2021 - ,"        304,522 members",7.19
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",TV (12 eps),        Apr 2021 - ,"        139,811 members",7.16
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,OVA (? eps),        Dec 2008 - ,"        31,665 members",7.16
"Sentouin, Hakenshimasu!",TV (12 eps),        Apr 2021 - ,"        143,339 members",7.15
Shakunetsu Kabaddi,TV (12 eps),        Apr 2021 - ,"        52,278 members",7.09
Dragon Quest: Dai no Daibouken (2020),TV (? eps),        Oct 2020 - ,"        45,400 members",7.09
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,TV (10 eps),        Apr 2021 - ,"        186,562 members",7.08
Shaman King (2021),TV (52 eps),        Apr 2021 - ,"        154,840 members",7.08
Gudetama,TV (? eps),        Mar 2014 - ,"        9,486 members",7.05
Nintama Rantarou,TV (? eps),        Apr 1993 - ,"        5,491 members",7.04
Strike the Blood IV,OVA (12 eps),        Apr 2020 - Jun 2021,"        50,319 members",7.03
Koi to Yobu ni wa Kimochi Warui,TV (12 eps),        Apr 2021 - ,"        104,091 members",7.03
Ling Jian Zun 4th Season,ONA (100 eps),        Sep 2020 - ,"        1,046 members",7.03
Osananajimi ga Zettai ni Makenai Love Comedy,TV (12 eps),        Apr 2021 - ,"        114,606 members",7.00
Godzilla: S.P,TV (13 eps),        Apr 2021 - ,"        32,344 members",6.92
SSSS.Dynazenon,TV (12 eps),        Apr 2021 - ,"        59,005 members",6.91
Wan Jie Fa Shen,ONA (50 eps),        Dec 2020 - ,        670 members,6.89
Mars Red,TV (13 eps),        Apr 2021 - ,"        71,973 members",6.86
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,TV (12 eps),        Apr 2021 - ,"        90,068 members",6.85
Hetalia World★Stars,ONA (12 eps),        Apr 2021 - ,"        12,515 members",6.81
Edens Zero,TV (? eps),        Apr 2021 - ,"        97,999 members",6.79
Nanatsu no Taizai: Fundo no Shinpan,TV (24 eps),        Jan 2021 - ,"        204,961 members",6.75
Digimon Adventure:,TV (66 eps),        Apr 2020 - ,"        43,714 members",6.68
